name,size,from,to,comment,parent,alt_names,formatter
Number of Entries in List of Geographic Identifiers,4,247,250,Maximum of 21 entries,,,
LIST OF GEOGRAPHIC IDENTIFIERS:,1113,251,1363,"Maximum of 21 entries, each 53 bytes long: 21x53 = 1,113",,,LGI
